step,epoch,loss_qfl,loss_bbox,loss_dfl
11451,17,0.3647,0.277,0.1881
11501,17,0.3846,0.325,0.1961
11551,17,0.3998,0.4109,0.22
11601,17,0.4426,0.3983,0.2125
11651,17,0.4872,0.351,0.2086
11701,17,0.4046,0.357,0.2099
11751,17,0.3987,0.491,0.2262
11801,17,0.4057,0.3927,0.2139
11851,17,0.3569,0.5008,0.2363
11901,17,0.3545,0.3082,0.1994
11951,17,0.4046,0.388,0.2077
12001,17,0.4308,0.3877,0.2069
12051,17,0.4521,0.3753,0.2138
12101,18,0.4717,0.3903,0.2195
12151,18,0.4489,0.3412,0.1993
12201,18,0.4041,0.3354,0.1952
12251,18,0.3646,0.4568,0.2326
12301,18,0.4264,0.3857,0.2204
12351,18,0.4508,0.4135,0.2226
12401,18,0.4581,0.356,0.2115
12451,18,0.4418,0.3204,0.2066
12501,18,0.4566,0.373,0.2119
12551,18,0.4182,0.3409,0.1973
12601,18,0.5554,0.3752,0.2121
12651,18,0.4407,0.3457,0.2069
12701,18,0.451,0.3519,0.2078
12751,18,0.4194,0.373,0.2094
12801,19,0.4403,0.3559,0.2113
12851,19,0.4567,0.4032,0.2163
12901,19,0.4226,0.3458,0.2059
12951,19,0.445,0.4354,0.2449
13001,19,0.4286,0.3442,0.2153
13051,19,0.3815,0.4268,0.2192
13101,19,0.4335,0.3802,0.204
13151,19,0.4088,0.4347,0.226
13201,19,0.4623,0.4369,0.2403
13251,19,0.3674,0.3611,0.2055
13301,19,0.3827,0.3459,0.1887
13351,19,0.3971,0.3355,0.1862
13401,19,0.4456,0.4385,0.2416
13451,19,0.4206,0.3767,0.214
13501,19,0.3918,0.3267,0.1883
13551,20,0.4505,0.3787,0.1985
13601,20,0.4098,0.2841,0.1818
13651,20,0.4276,0.3066,0.1726
13701,20,0.3951,0.3348,0.1877
13751,20,0.4205,0.3736,0.2067
13801,20,0.3577,0.3275,0.2001
13851,20,0.3899,0.347,0.2119
13901,20,0.4541,0.4605,0.2302
13951,20,0.4283,0.432,0.241
14001,20,0.4712,0.3057,0.1902
14051,20,0.4167,0.429,0.2196
14101,20,0.3591,0.3912,0.2157
14151,20,0.4836,0.2901,0.1804
14201,20,0.4818,0.4267,0.2215
1331,20,0.4294,0.3501,0.2177
1381,20,0.3306,0.2958,0.2061
14251,21,0.4244,0.337,0.1931
14301,21,0.4646,0.4045,0.2132
14351,21,0.4345,0.3553,0.2083
14401,21,0.3654,0.3782,0.194
14451,21,0.4616,0.3909,0.2183
14501,21,0.4283,0.3759,0.1967
14551,21,0.3463,0.3384,0.2043
14601,21,0.3596,0.3995,0.2074
14651,21,0.3868,0.3515,0.2075
14701,21,0.4512,0.3831,0.2267
14751,21,0.37,0.3983,0.223
14801,21,0.4051,0.4025,0.203
14851,21,0.4012,0.3338,0.1905
14901,21,0.3823,0.3872,0.2122
14951,22,0.4855,0.3715,0.2064
15001,22,0.4288,0.352,0.2078
15051,22,0.4365,0.4091,0.2168
15101,22,0.3855,0.3646,0.2175
15151,22,0.453,0.3912,0.2168
15201,22,0.3844,0.3384,0.2039
15251,22,0.3486,0.324,0.1937
15301,22,0.3416,0.3386,0.2035
15351,22,0.4143,0.3761,0.2044
15401,22,0.3589,0.3588,0.2027
15451,22,0.3837,0.4513,0.2289
15501,22,0.3859,0.3585,0.2028
15551,22,0.3452,0.381,0.2117
15601,22,0.4397,0.4115,0.2146
15651,23,0.3992,0.4189,0.2237
15701,23,0.4308,0.35,0.1966
15751,23,0.3731,0.4107,0.208
15801,23,0.3948,0.317,0.1959
15851,23,0.3782,0.414,0.2227
15901,23,0.3673,0.3435,0.1954
15951,23,0.4423,0.3744,0.2102
16001,23,0.4111,0.3477,0.2123
16051,23,0.4408,0.3516,0.2097
16101,23,0.4154,0.4369,0.2179
16151,23,0.3698,0.3837,0.2192
16201,23,0.3643,0.3075,0.2015
16251,23,0.3725,0.4124,0.2134
16301,23,0.3908,0.3677,0.2026
16351,23,0.436,0.3435,0.2097
16401,24,0.4664,0.3458,0.1928
16451,24,0.414,0.3895,0.2124
16501,24,0.4738,0.3219,0.21
16551,24,0.3519,0.356,0.216
16601,24,0.34,0.4062,0.2178
16651,24,0.407,0.3257,0.1901
16701,24,0.4125,0.3464,0.2046
16751,24,0.4726,0.3774,0.2214
16801,24,0.3855,0.3199,0.1973
16851,24,0.3629,0.3791,0.2179
16901,24,0.3788,0.4059,0.2083
16951,24,0.4067,0.3731,0.193
17001,24,0.3744,0.3473,0.2159
17051,24,0.384,0.3525,0.2013
17101,25,0.4104,0.3602,0.2064
17151,25,0.4326,0.377,0.2013
17201,25,0.3469,0.3352,0.1975
17251,25,0.4569,0.383,0.2072
17301,25,0.376,0.3564,0.2052
17351,25,0.3859,0.3027,0.1847
17401,25,0.3962,0.4026,0.2131
17451,25,0.3684,0.3034,0.1889
17501,25,0.3453,0.5448,0.2295
17551,25,0.4182,0.4605,0.2256
17601,25,0.4037,0.4123,0.2157
17651,25,0.3782,0.3993,0.2123
17701,25,0.4226,0.455,0.2194
17751,25,0.4035,0.3496,0.2124
17801,26,0.4486,0.3497,0.2134
17851,26,0.3855,0.33,0.1929
17901,26,0.4109,0.3854,0.2108
17951,26,0.4645,0.4215,0.2153
18001,26,0.3736,0.3825,0.2135
18051,26,0.4004,0.374,0.2093
18101,26,0.348,0.3187,0.1889
18151,26,0.4155,0.3661,0.2138
18201,26,0.3361,0.41,0.2081
18251,26,0.4573,0.3668,0.2056
18301,26,0.3829,0.4511,0.2188
18351,26,0.4391,0.3509,0.2034
18401,26,0.3645,0.3359,0.1885
18451,26,0.4714,0.3413,0.1974
18501,27,0.3599,0.3799,0.2121
18551,27,0.448,0.3601,0.2019
18601,27,0.3534,0.348,0.1924
18651,27,0.3938,0.3815,0.2055
18701,27,0.4328,0.3441,0.201
18751,27,0.4354,0.3377,0.2029
18801,27,0.408,0.3582,0.2059
18851,27,0.3822,0.4433,0.2252
18901,27,0.3737,0.3563,0.2093
18951,27,0.4125,0.3187,0.1897
